Date of Survey,How was the location Accessed,Location Accessibility,Location_type,Population Category,New Location,State,State code,LGA,LGA code,Ward,Site Type,Site Classification,Site Name,Site ID (SSID),Site Status (if Camp),Latitude,Longitude,new_locations/Site_Class,Reasons of Displacement,Reason for Returning,Households,Individuals,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-INDs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2014_2021_hh,idps_Returnees_integrate_resettled_2014_2021_ind,Total_Arrival Year - Households,Total_Arrival Year -Individuals,Male Infants (<1 y),Female Infants (<1 y),Male Children (1-5 y),Female Children (1-5 y),Male Children (6-12 y),Female Children (6-12 y),Male Youth (13-17 y),Female Youth (13-17 y),Male Adults (18-59 y),Female Adults (18-59 y),Male Elderly (60 +y ),Female Elderly (60 +y ),Returnee Status,initially displaced Country,Initially displaced State,Initially displaced LGA,Initially displaced WARD,Majority Year of Returns (2025) - HH,Majority Year of Returns (2025) - IND,Majority Year of Returns (2024) - HH,Majority Year of Returns (2024) - IND,Majority Year of Returns (2023) - HH,Majority Year of Returns (2023) - IND,Majority Year of Returns (2022) - HH,Majority Year of Returns (2022) - IND,Majority Year of Returns (2014-2021) - HH,Majority Year of Returns (2014-2021) - IND
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Bille,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Bille,AD_H001,,9.263147,11.901162,Rural,Communal Clashes,,92,552,4,24,5,30,3,18,4,24,76,456,92,552,8,8,24,25,84,85,97,99,52,52,9,9,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Bille,Returnees,Returnees,Bille,AD_R001,,8.89807,12.3030361,Rural,Communal Clashes,Improved security,80,480,4,24,12,72,2,12,15,90,47,282,80,480,14,16,24,26,72,73,67,67,45,46,15,15,IDP Returnee,Nigeria,Adamawa,Demsa,Bille,4.0,24.0,12.0,72.0,2.0,12.0,15.0,90.0,47.0,282.0
2025-03-24,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Bille,IDPs Resettled,IDPs Resettled,Gejembo,Gejembo,,9.26549,11.899502,Rural,Communal Clashes,,42,252,3,18,4,24,3,18,6,36,26,156,42,252,6,6,7,8,34,35,40,41,27,28,10,10,IDPs,,,,,,,,,,,,,,
2025-03-24,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Tikka,AD_H004,,9.556226,12.253704,Rural,Natural Disaster,,80,480,6,36,32,192,2,12,3,18,37,222,80,480,14,14,20,20,59,61,120,120,16,16,9,11,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Borrong B,AD_H005,,9.535633,12.175444,Rural,Communal Clashes,,371,2226,4,24,10,60,2,12,3,18,352,2112,371,2226,18,18,21,22,319,321,424,437,158,162,163,163,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Borrong A,AD_H006,,9.536868,12.180862,Rural,Communal Clashes,,403,2418,5,30,15,90,3,18,4,24,376,2256,403,2418,21,22,143,144,285,285,340,343,264,270,148,153,IDPs,,,,,,,,,,,,,,
2025-03-24,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Lasala,AD_H487,,9.56044,12.18448,Rural,Communal Clashes,,71,426,3,18,30,180,0,0,2,12,36,216,71,426,9,9,25,25,70,72,54,54,34,34,20,20,IDPs,,,,,,,,,,,,,,
2025-03-21,remotely  phone call,,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,Returnees,Returnees,Borrong A,AD_R002,,9.538987,12.178646,Rural,Communal Clashes,Improved security,218,1308,18,108,5,30,20,120,25,150,150,900,218,1308,25,28,45,47,127,131,163,165,241,243,46,47,IDP Returnee,Nigeria,Adamawa,Demsa,Gwamba,0.0,0.0,18.0,108.0,5.0,30.0,20.0,120.0,175.0,1050.0
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Demsa,AD_H007,,9.456486,12.154671,Urban,Communal Clashes,,58,348,3,18,5,30,4,24,12,72,34,204,58,348,10,11,18,20,34,35,75,76,22,23,12,12,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,Returnees,Returnees,Demsa,AD_R003,,9.42646,12.13402,Urban,Insurgency,Improved security,129,774,4,24,15,90,3,18,15,90,92,552,129,774,17,17,24,27,50,53,135,137,94,96,62,62,IDP Returnee,Nigeria,Adamawa,Michika,Michika I,4.0,24.0,15.0,90.0,3.0,18.0,15.0,90.0,92.0,552.0
