lgs_names,status,latitude,longitude
Mubi South,Open,10.190825,13.240736
Mayo-Belwa,Open,9.001957,11.92599
Jada,Open,8.66625,12.504659
Gombi,Open,10.034278,12.346278
Fufore,Open,9.245174,12.868807
Fufore,Open,9.4132463,12.7235213
Fufore,Open,9.187156,12.704183
Yola North,Open,9.2575757,12.4540046
Mayo-Belwa,Open,8.662686,11.887755
Gombi,Open,10.288872,12.375595
Ganye,Open,8.42954,11.951722
Gombi,Open,10.079255,12.545916
Song,Open,9.782112,12.414592
Ganye,Open,8.334856,12.055701
Demsa,Open,9.538193,12.215642
Jada,Open,8.643632,12.01958
Lamurde,Open,9.508872,11.645575
Toungo,Open,8.022643,11.5383
Hong,Open,10.170322,12.97516
Numan,Open,9.383729,11.625184
Shelleng,Open,9.877157,12.022484
Mayo-Belwa,Open,9.08528,12.072856
Demsa,Open,9.457984,12.07521
Gombi,Open,10.374411,12.59867
Shelleng,Open,9.949879,12.193819
Gombi,Open,10.025728,12.44597
Song,Open,9.819217,12.576261
Michika,Open,10.64111,13.379092
Gombi,Open,10.128257,12.339405
Michika,Open,10.665583,13.303856
Demsa,Open,9.375028,12.093106
Jada,Open,8.477438,12.059083
Gombi,Open,10.124002,12.70833
Michika,Open,10.605209,13.395112
Michika,Open,10.607736,13.370585
Gombi,Open,10.061031,12.447439
Yola South,Open,9.322943,12.229719
Mubi South,Open,10.167274,13.225923
Maiha,Open,9.934198,13.176447
Demsa,Open,9.571547,12.070341
Yola South,Open,9.122106,12.462805
Yola North,Open,9.2470641,12.4447417
Mubi South,Open,10.264252,13.259822
Yola North,Open,9.276919,12.460777
Girei,Open,9.334522,12.50772
Guyuk,Open,9.697797,11.903565
Fufore,Open,9.243502,12.873201
Jada,Open,8.665856,12.304192
Demsa,Open,9.402843,11.910613
Jada,Open,8.753427,12.091731
Yola North,Open,9.26565,12.457309
Fufore,Open,9.2986647,12.8211586
Yola North,Open,9.248376,12.426147
Yola South,Open,9.399367,12.31027
Demsa,Open,9.505788,12.123629
Maiha,Open,10.144601,13.173407
Jada,Open,8.6261246,12.382883
Mayo-Belwa,Open,8.712139,11.887755
Maiha,Open,9.791717,13.106109
Maiha,Open,10.057758,13.165414
Song,Open,9.850289,12.443336
Mubi North,Open,10.432858,13.428123
Maiha,Open,10.154167,13.117454
Song,Open,9.821941,12.162029
Hong,Open,10.405915,12.84936
Numan,Open,9.474624,11.737827
Ganye,Open,8.484309,11.899347
Michika,Open,10.55545,13.389633
Gombi,Open,10.018186,12.222019
Yola South,Open,9.178171,12.540931
Demsa,Open,9.500123,12.106305
Girei,Open,9.46818,12.392133
Mubi North,Open,10.488957,13.349338
Hong,Open,10.132859,12.962836
Shelleng,Open,9.700052,12.02766
Jada,Open,8.827724,12.170919
Guyuk,Open,9.766731,11.865705
Demsa,Open,9.458519,12.223026
Demsa,Open,9.460037,12.198679
Guyuk,Open,9.856338,11.932763
Guyuk,Open,9.819442,11.982595
Girei,Open,9.553121,12.270981
Fufore,Open,8.978871,12.499929
Jada,Open,8.506554,12.313704
Shelleng,Open,9.857547,12.043856
Maiha,Open,9.956942,13.227795
Mubi North,Open,10.321904,13.307142
Fufore,Open,9.22712,12.71627
Mubi North,Open,10.274131,13.252932
Ganye,Open,8.582167,11.885232
Gombi,Open,10.111274,12.485919
Mubi South,Open,10.261597,13.277552
Jada,Open,8.629447,12.463492
Fufore,Open,9.395173,12.831494
Yola South,Open,9.146524,12.540305
