latitude,longitude,idp_population
9.263147,11.901162,552
9.26549,11.899502,252
9.556226,12.253704,480
9.535633,12.175444,2226
9.536868,12.180862,2418
9.56044,12.18448,426
9.456486,12.154671,348
9.457918,12.229334,510
9.39895,12.3643,660
9.459728,12.177998,762
9.534999,12.161227,444
9.50061,12.10531,420
9.40498,11.93362,3174
9.385248,11.938075,918
9.4528,12.06758,294
9.45328,12.06498,312
9.60258,12.19187,1830
9.60257,12.19183,1266
9.30257,11.76324,1242
9.51105,12.1929,348
9.51182,12.20143,378
9.43301,12.13055,360
9.45024,12.04767,390
9.06542,12.66419,113
9.07023,12.66263,35
9.15618,12.59884,187
9.57651,12.9007,38
9.58291,12.91652,32
9.57978,12.91659,11
9.5527,12.78224,35
9.21765,12.6543,169
9.21804,12.64191,93
9.20771,12.67751,1068
9.21765,12.6543,387
9.09661,12.87983,101
9.11495,12.8832,31
9.10845,12.88559,105
9.11392,12.86973,51
9.11014,12.88028,43
9.14598,12.35287,594
9.37723,12.70282,203
9.41825,12.59718,3175
9.4212,12.5971,603
9.29598,12.79633,538
9.29717,12.71503,39
9.30652,12.72032,59
8.267427,12.068349,76
8.4316,12.053114,61
8.457648,12.039876,70
8.445773,12.045286,73
8.451662,12.051298,77
8.432025,12.063586,30
8.445899,12.059015,45
8.437966,12.051706,47
8.441018,12.058316,56
8.448803,12.058655,53
8.454662,12.058466,50
8.432826,12.048829,33
8.430631,12.046884,53
8.439187,12.038598,50
8.37048,12.067046,42
9.33472,12.45766,76
9.33412,12.4721,121
9.31808,12.47898,575
9.30316,12.46516,345
9.31853,12.45172,538
9.31599,12.44461,339
9.31334,12.46029,675
9.30584,12.47189,720
9.30613,12.4846,519
9.31974,12.44136,1025
9.48596,12.30687,400
9.45632,12.35625,800
9.33938,12.50727,1200
9.33893,12.5085,519
9.34431,12.51341,600
9.34264,12.51707,580
9.35204,12.51312,275
9.35209,12.51223,220
9.37582,12.55931,250
9.37211,12.55222,500
9.36791,12.55256,480
9.505,12.491,120
9.50503,12.49995,75
9.53353,12.49816,122
9.53271,12.50146,331
9.30444,12.48875,979
9.29134,12.48012,244
9.29147,12.49431,1128
9.30552,12.48633,698
9.29912,12.48469,786
9.3098766,12.4870902,198
9.50011,12.56769,169
9.48339,12.58191,628
9.49888,12.576,457
9.30329,12.47378,500
10.101537,12.34784,101
10.12613,12.33882,157
10.13113,12.39603,127
10.14806,12.43441,91
10.16244,12.43303,92
10.18417,12.43641,95
10.18238,12.37378,136
10.18342,12.36991,113
10.40689,12.5662,188
10.40403,12.56749,200
10.40501,12.56518,239
10.40317,12.56537,223
10.18372,12.73407,223
10.18095,12.23264,361
10.17235,12.72687,360
10.17949,12.72231,375
10.14542,12.74552,259
10.160138,12.75218,164
10.14236,12.73524,397
10.33281,12.6594,118
10.37321,12.57332,163
10.32393,12.67432,121
10.04559,12.668,162
10.07188,12.67514,116
9.792,11.9622,378
9.78393,11.98305,192
9.98903,11.95734,72
9.6469,11.8339,30
9.78477,11.91055,708
9.79304,11.92395,318
9.65221,11.83702,600
9.648116,11.8393,504
9.70578,11.88148,1098
9.90418,11.93248,36
9.91032,11.93274,42
9.9052,11.94063,48
9.90258,11.93104,150
9.91635,11.9566,60
9.91658,11.9468,42
9.91637,11.9565,36
10.24967,13.02682,150
10.20363,12.98729,48
10.26665,13.09585,43
10.22799,12.99708,45
10.28557,13.0748,171
10.13829,12.98352,27
10.15253,13.00569,37
10.17825,12.88863,96
10.38384,12.82003,70
10.36759,12.86165,300
10.32272,12.85578,715
10.43253,13.00339,115
10.4133,12.97506,67
10.39416,13.17807,77
10.39417,13.17809,90
10.3894,13.21065,60
10.4005,13.17201,98
10.22663,12.912,180
10.2419,12.93193,200
10.2329,12.92972,190
10.23327,12.9206,235
10.187233,13.048791,50
10.128334,13.079358,50
10.14449,13.02419,40
10.31386,13.15927,82
10.31896,13.16871,65
10.30647,13.1735,80
10.35548,13.16414,45
10.24081,13.15759,34
10.27246,13.1679,45
10.31125,13.16262,53
10.23401,12.93592,82
10.24832,12.95024,65
10.23342,12.93595,40
10.29851,12.88705,100
10.14703,12.92642,154
10.175599,12.920138,150
10.22755,12.92884,150
10.22425,12.92225,372
10.45322,13.22203,373
10.44849,13.22319,360
10.45002,13.2224,391
8.75148,12.15388,106
8.75301,12.15117,106
8.75239,12.14779,90
8.75489,12.15578,84
8.75447,12.1554,72
8.75411,12.1571,60
8.76006,12.56553,72
8.75965,12.56646,60
8.8074,12.62597,36
8.80746,12.62546,48
8.62754,12.43561,48
8.57151,12.37885,84
9.56546,11.87686,114
9.56542,11.87697,102
9.56805,11.88878,192
9.5426,11.9475,150
9.65066,11.82022,564
9.65064,11.82037,366
9.60546,11.7897,204
9.60631,11.79649,312
9.6114,11.89121,240
9.50691,11.73453,198
9.51879,11.80065,204
9.50861,11.91061,90
9.51143,11.9326,540
9.57265,11.76925,252
9.543,11.69021,120
9.50876,11.64496,72
10.8621,13.6129,380
10.86215,13.50344,380
10.8157,13.60542,260
10.8868,13.61329,312
10.8474,13.6297,65
10.706948,13.441589,183
10.69698,13.45115,95
10.74597,13.41723,400
10.78742,13.43881,800
10.80424,13.45349,585
10.80446,13.46029,1252
10.80178,13.45858,924
