latitude,longitude,event_dates
11.84644,13.160274,2009-06-09 00:00:00.000
11.84644,13.160274,2009-07-26 00:00:00.000
12.0,11.5,2009-07-26 00:00:00.000
11.7091,11.0694,2009-07-26 00:00:00.000
12.0,11.5,2009-07-27 00:00:00.000
11.5,13.0,2009-07-27 00:00:00.000
9.333333,12.5,2009-07-27 00:00:00.000
11.84644,13.160274,2009-07-27 00:00:00.000
11.7091,11.0694,2009-07-29 00:00:00.000
11.84644,13.160274,2009-07-30 00:00:00.000
12.0,11.5,2010-02-01 00:00:00.000
11.84644,13.160274,2010-08-13 00:00:00.000
11.84644,13.160274,2010-08-25 00:00:00.000
11.747,11.9608,2010-08-25 00:00:00.000
11.84644,13.160274,2010-10-19 00:00:00.000
10.936778,11.684809,2010-10-24 00:00:00.000
11.84644,13.160274,2010-11-13 00:00:00.000
11.84644,13.160274,2010-11-23 00:00:00.000
11.84644,13.160274,2010-11-29 00:00:00.000
11.84644,13.160274,2010-12-05 00:00:00.000
11.84644,13.160274,2010-12-24 00:00:00.000
11.84644,13.160274,2010-12-28 00:00:00.000
11.84644,13.160274,2010-12-29 00:00:00.000
11.84644,13.160274,2011-01-03 00:00:00.000
11.84644,13.160274,2011-01-09 00:00:00.000
11.84644,13.160274,2011-01-17 00:00:00.000
11.84644,13.160274,2011-01-23 00:00:00.000
10.61285,12.19458,2011-01-23 00:00:00.000
11.84644,13.160274,2011-01-24 00:00:00.000
11.84644,13.160274,2011-01-26 00:00:00.000
11.84644,13.160274,2011-01-30 00:00:00.000
11.84644,13.160274,2011-02-01 00:00:00.000
10.61285,12.19458,2011-02-02 00:00:00.000
12.015044,13.832144,2011-02-19 00:00:00.000
11.747,11.9608,2011-02-20 00:00:00.000
11.5,13.0,2011-02-20 00:00:00.000
11.5,13.0,2011-02-23 00:00:00.000
11.84644,13.160274,2011-02-27 00:00:00.000
11.84644,13.160274,2011-03-01 00:00:00.000
11.84644,13.160274,2011-03-29 00:00:00.000
11.84644,13.160274,2011-04-15 00:00:00.000
11.84644,13.160274,2011-04-20 00:00:00.000
11.84644,13.160274,2011-05-13 00:00:00.000
11.84644,13.160274,2011-05-15 00:00:00.000
11.84644,13.160274,2011-05-18 00:00:00.000
11.84644,13.160274,2011-05-23 00:00:00.000
11.15604,12.75758,2011-05-27 00:00:00.000
11.84644,13.160274,2011-06-07 00:00:00.000
11.84644,13.160274,2011-06-20 00:00:00.000
11.84644,13.160274,2011-06-27 00:00:00.000
11.84644,13.160274,2011-07-03 00:00:00.000
11.84644,13.160274,2011-07-04 00:00:00.000
11.84644,13.160274,2011-07-06 00:00:00.000
11.84644,13.160274,2011-07-09 00:00:00.000
11.84644,13.160274,2011-07-12 00:00:00.000
11.84644,13.160274,2011-07-21 00:00:00.000
11.84644,13.160274,2011-07-26 00:00:00.000
11.84644,13.160274,2011-08-15 00:00:00.000
11.84644,13.160274,2011-08-19 00:00:00.000
10.16138,12.7399,2011-08-25 00:00:00.000
9.580717,12.566246,2011-08-29 00:00:00.000
11.84644,13.160274,2011-10-01 00:00:00.000
11.92543,13.60269,2011-10-05 00:00:00.000
11.84644,13.160274,2011-10-10 00:00:00.000
