LGA,state,conflict_count,total_schools,open_schools,closed_schools,idp_population,school_age_population,school_closure_rate,conflict_intensity,idp_density,school_age_density,risk_score
Abadam,Borno,173,5,0,5,0,71518,0.8333333333333334,0.3769063180827887,0.0,0.0651365791255925,0.45438216650004226
Askira/Uba,Borno,65,40,40,0,11718,198236,0.0,0.1416122004357298,0.0407615217913085,0.3375810283478279,0.15242252885851273
Bade,Yobe,7,28,28,0,25654,137362,0.0,0.0152505446623093,0.0892384434232999,0.2067015684293131,0.0791812478672191
Bama,Borno,309,32,7,25,171239,164251,0.7575757575757576,0.673202614379085,0.5956615659687557,0.2645130774109628,0.8190584859981267
Bayo,Borno,0,25,25,0,279,117391,0.0,0.0,0.0009705124236025,0.1637638003504509,0.029527433201582205
Biu,Borno,98,27,27,0,45579,225461,0.0,0.2135076252723311,0.1585483360407963,0.3961149393160831,0.2408249905725263
Bursari,Yobe,5,29,29,0,3644,132614,0.0,0.0108932461873638,0.0126757966724294,0.1964933403566859,0.04748386424715648
Chibok,Borno,73,19,16,3,10200,77754,0.15,0.1590413943355119,0.0354810993575138,0.0785440159960439,0.13776621318785523
Damaturu,Yobe,58,7,5,2,23361,217386,0.25,0.1263616557734204,0.0812621531461647,0.3787536415725143,0.25994025675646354
Damboa,Borno,235,50,9,41,109797,130214,0.803921568627451,0.5119825708061002,0.3819331633487201,0.1913333261666469,0.6712830609983468
Demsa,Adamawa,12,80,80,0,19350,114893,0.0,0.0261437908496732,0.0673097326046953,0.1583930855809853,0.0624429911607476
Dikwa,Borno,108,19,2,17,107707,78472,0.85,0.2352941176470588,0.3746630165195824,0.0800877202412306,0.5366069189517129
Fika,Yobe,4,44,44,0,2514,193200,0.0,0.008714596949891,0.0087450474298813,0.326753598572396,0.08189619545695284
Fufore,Adamawa,0,111,111,0,10171,274392,0.0,0.0,0.0353802217220855,0.5013168786214162,0.13680348025798716
Fune,Yobe,20,44,44,0,4589,308595,0.0,0.0435729847494553,0.0159630161717285,0.5748535308472098,0.16911456888735224
Ganye,Adamawa,1,65,65,0,816,164918,0.0,0.0021786492374727,0.0028384879486011,0.2659471313546112,0.05991088649086612
Geidam,Yobe,35,10,9,1,5555,216716,0.0909090909090909,0.0762527233115468,0.0193232849932342,0.3773131376111284,0.16046515140042258
Girei,Adamawa,30,56,56,0,17980,136997,0.0,0.065359477124183,0.0625441339654998,0.2059168162712447,0.09074161128603762
Gombi,Adamawa,16,75,75,0,4581,172650,0.0,0.0348583877995642,0.0159351878585069,0.2825709770701869,0.08302958629145549
Gubio,Borno,45,7,1,6,12259,101525,0.75,0.0980392156862745,0.0426434114729178,0.129651806542468,0.3403175652361368
Gujba,Yobe,82,18,13,5,48298,151872,0.2631578947368421,0.1786492374727669,0.1680064839969806,0.2378981542199241,0.277545077893937
Gulani,Yobe,7,26,26,0,2312,177928,0.0,0.0152505446623093,0.0080423825210364,0.2939187082764478,0.07515649598667085
Guyuk,Adamawa,1,69,69,0,4314,88941,0.0,0.0021786492374727,0.0150064179047367,0.1025961321393633,0.01815197218820852
Guzamala,Borno,52,9,8,1,0,61296,0.1,0.1132897603485838,0.0,0.0431592186878513,0.07832668744314805
Gwoza,Borno,459,20,1,19,163325,165241,0.9047619047619048,1.0,0.5681324071143082,0.266641583264354,1.0
Hawul,Borno,24,65,65,0,22879,189738,0.0,0.0522875816993464,0.0795854972745645,0.3193102781032648,0.12318312873544743
Hong,Adamawa,23,94,94,0,5795,166206,0.0,0.0501089324618736,0.0201581343898816,0.2687163389699322,0.0870605187438598
Jada,Adamawa,0,77,77,0,866,221447,0.0,0.0,0.0030124149062359,0.3874848155832429,0.09331075926802467
Jakusko,Yobe,0,42,42,0,2909,158592,0.0,0.0,0.0101190703951968,0.2523461939520334,0.05772114356652633
Jere,Borno,100,19,11,8,287477,347253,0.4,0.2178649237472767,1.0,0.6579684594132634,0.753915224355356
Kaga,Borno,85,19,4,15,24794,83466,0.75,0.1851851851851851,0.0862468997519801,0.0908248497683368,0.3815846646873692
Kala/Balge,Borno,65,18,0,18,40949,41222,0.9473684210526316,0.1416122004357298,0.1424426997638072,0.0,0.42690376181509865
Karasuwa,Yobe,2,19,19,0,2739,96463,0.0,0.0043572984749455,0.0095277187392382,0.1187684766133106,0.02170146637278864
Konduga,Borno,389,39,8,31,71305,107000,0.775,0.8474945533769063,0.2480372342830904,0.1414230889134945,0.7417083203392816
Kukawa,Borno,210,24,8,16,0,70134,0.64,0.457516339869281,0.0,0.06216097094267,0.4195051758195707
Kwaya Kusar,Borno,1,7,7,0,4615,96724,0.0,0.0021786492374727,0.0160534581896986,0.1193296281564774,0.023237844882296587
Lamurde,Adamawa,9,44,44,0,3720,68584,0.0,0.0196078431372549,0.0129401656480344,0.0588284617782698,0.012455985637552795
Machina,Yobe,0,11,11,0,1972,105883,0.0,0.0,0.0068596792091193,0.1390215323092138,0.024628024450613493
Madagali,Adamawa,91,41,41,0,14747,96518,0.0,0.1982570806100217,0.051298016884829,0.118886726938499,0.11843936516709545
Mafa,Borno,126,15,1,14,42039,61277,0.875,0.2745098039215686,0.1462343074402474,0.0431183685755135,0.4710876493662108
Magumeri,Borno,65,10,0,10,38107,130859,0.9090909090909092,0.1416122004357298,0.1325566914918411,0.1927200799802199,0.4642580909381376
Maiduguri,Borno,355,13,13,0,204441,506337,0.0,0.7734204793028322,0.711156022916616,1.0,0.842514819321839
Maiha,Adamawa,6,48,48,0,23495,103270,0.0,0.0130718954248366,0.0817282773926262,0.1334035668598088,0.05495209875570624
Marte,Borno,118,21,0,21,0,55459,0.9545454545454546,0.2570806100217865,0.0,0.0306096341764939,0.43669371304002724
Mayo-Belwa,Adamawa,1,74,74,0,1305,176210,0.0,0.0021786492374727,0.0045394935942701,0.2902249981187448,0.06735384217539121
Michika,Adamawa,25,43,43,0,3205,137282,0.0,0.0544662309368191,0.0111487179843952,0.2065295679563119,0.06819878813609101
Mobbar,Borno,70,6,0,6,89292,125460,0.8571428571428571,0.1525054466230936,0.3106057180226592,0.1811121980585446,0.510024613523449
Monguno,Borno,83,17,2,15,162108,119233,0.8333333333333334,0.1808278867102396,0.5638990249654755,0.1677241112413059,0.5990866143659473
Mubi North,Adamawa,22,49,49,0,10345,142933,0.0,0.0479302832244008,0.0359854875346549,0.2186792513679412,0.07761145117362983
Mubi South,Adamawa,7,31,31,0,10084,134215,0.0,0.0152505446623093,0.0350775888158009,0.1999354998226245,0.058189996523285624
Nangere,Yobe,1,31,31,0,833,116694,0.0,0.0021786492374727,0.0028976231141969,0.1622652462294271,0.03070524020716445
Ngala,Borno,143,7,0,7,97954,159772,0.875,0.3115468409586057,0.3407368241633243,0.2548832009288025,0.6149759996149464
Nganzai,Borno,66,11,3,8,0,63101,0.6666666666666666,0.1437908496732026,0.0,0.0470399793599432,0.2919866960855122
Nguru,Yobe,0,11,11,0,6418,137689,0.0,0.0,0.0223252642820121,0.207404620362706,0.04935368392674566
Numan,Adamawa,14,42,42,0,25823,51690,0.0,0.0305010893246187,0.0898263165401058,0.0225062618922202,0.03391466648506201
Potiskum,Yobe,39,21,21,0,4368,307313,0.0,0.0849673202614379,0.0151942590189823,0.572097223267364,0.18556945878281345
Shani,Borno,4,32,32,0,2687,143363,0.0,0.008714596949891,0.009346834703298,0.2196037539103232,0.05190418717157699
Shelleng,Adamawa,1,39,39,0,10320,75398,0.0,0.0021786492374727,0.0358985240558375,0.0734786020661556,0.017305638076528743
Song,Adamawa,2,51,51,0,4492,202892,0.0,0.0043572984749455,0.0156255978739168,0.3475914558765036,0.08835211955802653
Tarmuwa,Yobe,14,11,8,3,1842,129192,0.25,0.0305010893246187,0.0064074691192686,0.1891360201240553,0.1395814212612695
Toungo,Adamawa,0,26,26,0,566,68090,0.0,0.0,0.0019688531604267,0.0577663588574868,0.0
Yola North,Adamawa,0,32,32,0,11299,140248,0.0,0.0,0.0393040138863282,0.2129064854928351,0.05688717531608658
Yola South,Adamawa,8,49,49,0,17213,259457,0.0,0.0174291938997821,0.0598760944353809,0.4692065403179858,0.14375290118094675
Yunusari,Yobe,15,19,17,2,1705,179012,0.1,0.0326797385620915,0.0059309092553491,0.2962493146856154,0.1176748026980095
Yusufari,Yobe,0,9,9,0,1613,165843,0.0,0.0,0.0056108836533009,0.2679358868236887,0.0605271673910198
