lgs_names,population
Askira/Uba,180582
Bade,25654
Bama,233112
Bayo,279
Biu,58920
Bursari,5403
Chibok,48016
Damaturu,31695
Damboa,144848
Demsa,31404
Dikwa,139920
Fika,2712
Fufore,10651
Fune,4589
Ganye,816
Geidam,202455
Girei,22151
Gombi,85190
Gubio,40278
Gujba,119448
Gulani,83114
Guyuk,15036
Gwoza,267125
Hawul,48311
Hong,173299
Jada,866
Jakusko,2909
Jere,305363
Kaga,68057
Kala/Balge,40949
Karasuwa,4702
Konduga,140277
Kwaya Kusar,5499
Lamurde,40164
Machina,1972
Madagali,75240
Mafa,66527
Magumeri,49801
Maiduguri,204441
Maiha,93898
Mayo-Belwa,2834
Michika,163757
Mobbar,167094
Monguno,213185
Mubi North,119011
Mubi South,118757
Nangere,2069
Ngala,179930
Nguru,6418
Numan,54908
Potiskum,8741
Shani,2687
Shelleng,21572
Song,38958
Tarmuwa,4314
Toungo,566
Yola North,11706
Yola South,19863
Yunusari,11768
Yusufari,4742
