id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name
u_fc_poi_school.101,AD,NMIS,Muhda Primary School,ADSGYL07,Primary,Primary,Public,Formal,School,,,004b0910-f6fa-43a9-9783-832aa982bf76,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.240736 10.190825),13.240736,10.190825,Adamawa
u_fc_poi_school.123,AD,NMIS,Dakau Primary School,ADSTNG05,Primary,Primary,Public,Formal,School,,,00571040-e8b8-4b8f-bd2f-82b78913851e,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.970765 8.177709),11.970765,8.177709,Adamawa
u_fc_poi_school.124,AD,NMIS,Bulma Primary School,ADSGYL08,Primary,Primary,Public,Formal,School,,,0057f3f6-9b53-482c-99ed-4f71fafe517d,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.357728 10.214025),13.357728,10.214025,Adamawa
u_fc_poi_school.154,AD,eHA Polio,Limawa Primary School,ADSYLN07,Primary,Standard,Public,Formal,School,,,00694d5a-f5fe-4f41-b2c3-b737c850e83c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.4615543 9.285299),12.4615543,9.285299,Adamawa
u_fc_poi_school.167,AD,OSGOF,Zobodo Primary School Bafyau I,ADSLMR01,Primary,Standard,Public,Formal,School,,,006f667a-fc68-46b5-9ea1-f6587e608036,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.84824 9.59515),11.84824,9.59515,Adamawa
u_fc_poi_school.205,AD,NMIS,Morro Primary School,ADSDSA02,Primary,Primary,Public,Formal,School,,,00825edf-789f-4aac-9b27-724bda0101b1,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.274894 9.505706),12.274894,9.505706,Adamawa
u_fc_poi_school.213,AD,NMIS,Kanjang Primary School,ADSMWA12,Primary,Primary,Public,Formal,School,,,00881fe0-288c-4fad-8542-2c5dcee2f74b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.92599 9.001957),11.92599,9.001957,Adamawa
u_fc_poi_school.232,AD,NMIS,Hamalaire Primary School,ADSFUR06,Primary,Primary,Public,Formal,School,,,00946698-32cd-480c-9e3e-b0f93d73f1ee,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.229074 8.88533),12.229074,8.88533,Adamawa
u_fc_poi_school.246,AD,NMIS,St Thomas Nursery and Primary School,ADSGYL04,Primary,Standard,Faith Based,Integrated,School,,,009d5465-ed6b-45bf-b428-a65946d3ae57,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.28878 10.2644),13.28878,10.2644,Adamawa
u_fc_poi_school.298,AD,NMIS,Bakuru Kindam Primary School,ADSDSA06,Primary,Primary,Public,Formal,School,,,00bc387d-b5ab-4964-a563-8be11a47020d,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.105272 9.348547),12.105272,9.348547,Adamawa
