id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name,state_clean,norm_name,School Status,School Level,School Type,School Name
u_fc_poi_school.101,AD,NMIS,Muhda Primary School,ADSGYL07,Primary,Primary,Public,Formal,School,,,004b0910-f6fa-43a9-9783-832aa982bf76,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.240736 10.190825),13.240736,10.190825,Adamawa,Adamawa,muhda,Open,Junior Secondary,Regular,"Government Junior Secondary School, Muhda"
u_fc_poi_school.213,AD,NMIS,Kanjang Primary School,ADSMWA12,Primary,Primary,Public,Formal,School,,,00881fe0-288c-4fad-8542-2c5dcee2f74b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.92599 9.001957),11.92599,9.001957,Adamawa,Adamawa,kanjang,Open,Pre-Primary & Primary,Regular,Kanjang Primary School
u_fc_poi_school.421,AD,NMIS,Labbare Primary School,ADSMWA10,Primary,Primary,Public,Formal,School,,,01082a1b-7d28-4e31-ab13-26cf0ed3445c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.056478 9.119771),12.056478,9.119771,Adamawa,Adamawa,labbare,Open,Pre-Primary & Primary,Regular,Labbare Primary School
u_fc_poi_school.552,AD,NMIS,Sampa Primary School,ADSJAD07,Primary,Primary,Public,Formal,School,,,015ba6df-61b0-45ee-b013-6586c36dfe43,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.504659 8.66625),12.504659,8.66625,Adamawa,Adamawa,sampa,Open,Pre-Primary & Primary,Regular,Sampa Primary School
u_fc_poi_school.755,AD,NMIS,Hursaa Primary School,ADSGMB02,Primary,Primary,Public,Formal,School,,,01e4feee-356e-4577-bfdf-b3aaa18a42ac,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.346278 10.034278),12.346278,10.034278,Adamawa,Adamawa,hursaa,Open,Pre-Primary & Primary,Regular,Hursaa Primary School
u_fc_poi_school.901,AD,NMIS,Chikito Primary School,ADSFUR04,Primary,Primary,Public,Formal,School,,,02401577-fbc7-4558-ab17-4838da032a7c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.868807 9.245174),12.868807,9.245174,Adamawa,Adamawa,chikito,Open,Junior Secondary,Regular,"Government Junior Secondary School, Chikito"
u_fc_poi_school.915,AD,eHA Polio,Bengo Primary School,ADSFUR07,Primary,Standard,Public,Formal,School,,,02486b0c-32c0-4424-be50-61565379f233,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.7235213 9.4132463),12.7235213,9.4132463,Adamawa,Adamawa,bengo,Open,Pre-Primary & Primary,Regular,Bengo Primary School
u_fc_poi_school.1275,AD,NMIS,Alajire Primary School,ADSFUR01,Primary,Primary,Public,Formal,School,,,032ec413-c556-4be0-8412-069c07087aae,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.704183 9.187156),12.704183,9.187156,Adamawa,Adamawa,alajire,Open,Pre-Primary & Primary,Regular,Alajire Primary School
u_fc_poi_school.1282,AD,eHA Polio,Police Children School,ADSYLN06,Primary,Standard,Public,Formal,School,,,03326596-b72f-4a85-836f-214515bf7334,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.4540046 9.2575757),12.4540046,9.2575757,Adamawa,Adamawa,police children,Open,Private Education,Regular,Police Children School
u_fc_poi_school.1309,AD,NMIS,Pola Takko Primary School,ADSMWA03,Primary,Primary,Public,Formal,School,,,0347ab93-bcd6-48bb-8573-fdca0b6ab13c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.887755 8.662686),11.887755,8.662686,Adamawa,Adamawa,pola takko,Open,Pre-Primary & Primary,Regular,Pola Takko Primary School
u_fc_poi_school.1435,AD,NMIS,Kamsu Primary School,ADSGMB04,Primary,Primary,Public,Formal,School,,,0397f259-9d88-48ee-af9c-6936e5a2328e,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.375595 10.288872),12.375595,10.288872,Adamawa,Adamawa,kamsu,Open,Pre-Primary & Primary,Regular,Kamsu Primary School
u_fc_poi_school.1458,AD,NMIS,Unity Primary School,ADSGMB06,Primary,Standard,Public,Formal,School,,,03a576fa-c5a9-4b6d-9fc2-390e28be6097,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.737877 10.163709),12.737877,10.163709,Adamawa,Adamawa,unity,Open,Private Education,Regular,Unity Junior Secondary School
u_fc_poi_school.1488,AD,NMIS,Sammeri Primary School,ADSGAN05,Primary,Primary,Public,Formal,School,,,03b82b02-7c8e-4d3e-a78c-b7737a5a63c6,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.951722 8.42954),11.951722,8.42954,Adamawa,Adamawa,sammeri,Open,Pre-Primary & Primary,Regular,Sammeri Primary School
u_fc_poi_school.1514,AD,NMIS,Amdur Primary School,ADSGMB03,Primary,Primary,Public,Formal,School,,,03c694f6-ce56-4db8-accc-e1127ae86d08,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.545916 10.079255),12.545916,10.079255,Adamawa,Adamawa,amdur,Open,Pre-Primary & Primary,Regular,Amdur Primary School
u_fc_poi_school.1531,AD,NMIS,Kalajanga Primary School,ADSMWA09,Primary,Primary,Public,Formal,School,,,03cfaee2-8bb6-4fe7-abb0-135c2842c265,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.208695 9.240068),12.208695,9.240068,Adamawa,Adamawa,kalajanga,Open,Pre-Primary & Primary,Regular,Kalajanga Primary School
u_fc_poi_school.1535,AD,NMIS,Dimdima Primary School,ADSSNG02,Primary,Primary,Public,Formal,School,,,03d264c5-aaed-4f40-9a01-aea103ec0f0b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.414592 9.782112),12.414592,9.782112,Adamawa,Adamawa,dimdima,Open,Pre-Primary & Primary,Regular,Dimdima Primary School
u_fc_poi_school.1687,AD,NMIS,Batal Primary School,ADSGAN08,Primary,Primary,Public,Formal,School,,,0426ea50-1c2f-4165-9851-379ff479ac43,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.055701 8.334856),12.055701,8.334856,Adamawa,Adamawa,batal,Open,Pre-Primary & Primary,Regular,Batal Primary School
u_fc_poi_school.1720,AD,NMIS,Sabon Pegi Primary School,ADSNUM01,Primary,Primary,Public,Formal,School,,,043b3f3a-5acc-4ac2-8a01-e476d69aa3c5,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.017557 9.543461),12.017557,9.543461,Adamawa,Adamawa,sabon pegi,Open,Pre-Primary & Primary,Regular,Sabon Pegi Primary School
u_fc_poi_school.1763,AD,NMIS,Kunteri Primary School,ADSDSA02,Primary,Primary,Public,Formal,School,,,045d9ee0-834a-4b9b-b88d-922ad5ab1ac8,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.215642 9.538193),12.215642,9.538193,Adamawa,Adamawa,kunteri,Open,Pre-Primary & Primary,Regular,Kunteri Primary School
u_fc_poi_school.1889,AD,NMIS,Mbulo Primary School,ADSJAD09,Primary,Standard,Public,Formal,School,,,04aa3d90-bcd5-4926-89b4-3984f9c5aab8,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.01958 8.643632),12.01958,8.643632,Adamawa,Adamawa,mbulo,Open,Pre-Primary & Primary,Regular,Mbulo Primary School
u_fc_poi_school.2007,AD,NMIS,Waduku Primary School,ADSLMR10,Primary,Standard,Public,Formal,School,,,04eed767-cfff-4fa6-aafb-fc0a61f6f4e4,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.645575 9.508872),11.645575,9.508872,Adamawa,Adamawa,waduku,Open,Pre-Primary & Primary,Regular,Waduku Primary School
u_fc_poi_school.2121,AD,NMIS,Kudori Primary School,ADSTNG07,Primary,Primary,Public,Formal,School,,,052d8f20-3bc3-4daa-a081-0d61694f7954,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.5383 8.022643),11.5383,8.022643,Adamawa,Adamawa,kudori,Open,Pre-Primary & Primary,Regular,Kudori Primary School
u_fc_poi_school.2165,AD,NMIS,Gashaka Primary School,ADSHNG11,Primary,Primary,Public,Formal,School,,,054605fc-396c-448d-b841-bf4daa6b2312,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.97516 10.170322),12.97516,10.170322,Adamawa,Adamawa,gashaka,Open,Pre-Primary & Primary,Regular,Gashaka Primary School
u_fc_poi_school.2269,AD,NMIS,Nzumosu Primary School,ADSNUM02,Primary,Primary,Public,Formal,School,,,058a809a-bac4-42dc-a86f-2e9eb120b142,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.625184 9.383729),11.625184,9.383729,Adamawa,Adamawa,nzumosu,Open,Pre-Primary & Primary,Regular,Nzumosu Primary School
u_fc_poi_school.2399,AD,NMIS,Jumbul Primary School,ADSSHG05,Primary,Primary,Public,Formal,School,,,05e62637-3afb-40cc-8a0c-4af89d4cb7a5,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.022484 9.877157),12.022484,9.877157,Adamawa,Adamawa,jumbul,Open,Pre-Primary & Primary,Regular,Jumbul Primary School
u_fc_poi_school.2466,AD,NMIS,Mbilla Primary School,ADSMWA10,Primary,Standard,Public,Formal,School,,,060aa311-14d5-4be4-aa05-c9f6f8423955,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.072856 9.08528),12.072856,9.08528,Adamawa,Adamawa,mbilla,Open,Pre-Primary & Primary,Regular,Mbilla Primary School
u_fc_poi_school.2468,AD,NMIS,Dwam II Primary School,ADSDSA06,Primary,Primary,Public,Formal,School,,,060b2e1c-24e5-43b2-b782-95762d686561,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.07521 9.457984),12.07521,9.457984,Adamawa,Adamawa,dwam ii,Open,Pre-Primary & Primary,Regular,Dwam II Primary School
u_fc_poi_school.2577,AD,NMIS,Jau Primary School,ADSGMB08,Primary,Primary,Public,Formal,School,,,0646f38e-8421-4749-befb-5a89a6e2cb44,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.59867 10.374411),12.59867,10.374411,Adamawa,Adamawa,jau,Open,Pre-Primary & Primary,Regular,Jau Primary School
u_fc_poi_school.2629,AD,NMIS,Gwakta Primary School,ADSSHG02,Primary,Primary,Public,Formal,School,,,06646cd6-658a-495b-9833-5337560434d3,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.193819 9.949879),12.193819,9.949879,Adamawa,Adamawa,gwakta,Open,Pre-Primary & Primary,Regular,Gwakta Primary School
u_fc_poi_school.2815,AD,NMIS,Zangra Primary School,ADSGMB01,Primary,Primary,Public,Formal,School,,,06da40c4-52c7-4bbf-a5cb-a95e797a283b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.44597 10.025728),12.44597,10.025728,Adamawa,Adamawa,zangra,Open,Pre-Primary & Primary,Regular,Zangra Primary School
u_fc_poi_school.3061,AD,NMIS,Garin Tuwo,ADSSNG03,Primary,Primary,Public,Formal,School,,,077a89ec-9d5c-425d-b496-2a7118dc8f9f,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.576261 9.819217),12.576261,9.819217,Adamawa,Adamawa,garin tuwo,Open,Pre-Primary & Primary,Regular,Garin Tuwo Primary School
