id,state,lga_name,school_name_grid3,school_name_immap,status,education_level,school_type,latitude,longitude,category,subtype,management
u_fc_poi_school.101,Adamawa,Mubi South,Muhda Primary School,"Government Junior Secondary School, Muhda",Open,Junior Secondary,Regular,10.190825,13.240736,Primary,Primary,Public
u_fc_poi_school.213,Adamawa,Mayo-Belwa,Kanjang Primary School,Kanjang Primary School,Open,Pre-Primary & Primary,Regular,9.001957,11.92599,Primary,Primary,Public
u_fc_poi_school.552,Adamawa,Jada,Sampa Primary School,Sampa Primary School,Open,Pre-Primary & Primary,Regular,8.66625,12.504659,Primary,Primary,Public
u_fc_poi_school.755,Adamawa,Gombi,Hursaa Primary School,Hursaa Primary School,Open,Pre-Primary & Primary,Regular,10.034278,12.346278,Primary,Primary,Public
u_fc_poi_school.901,Adamawa,Fufore,Chikito Primary School,"Government Junior Secondary School, Chikito",Open,Junior Secondary,Regular,9.245174,12.868807,Primary,Primary,Public
u_fc_poi_school.915,Adamawa,Fufore,Bengo Primary School,Bengo Primary School,Open,Pre-Primary & Primary,Regular,9.4132463,12.7235213,Primary,Standard,Public
u_fc_poi_school.1275,Adamawa,Fufore,Alajire Primary School,Alajire Primary School,Open,Pre-Primary & Primary,Regular,9.187156,12.704183,Primary,Primary,Public
u_fc_poi_school.1282,Adamawa,Yola North,Police Children School,Police Children School,Open,Private Education,Regular,9.2575757,12.4540046,Primary,Standard,Public
u_fc_poi_school.1309,Adamawa,Mayo-Belwa,Pola Takko Primary School,Pola Takko Primary School,Open,Pre-Primary & Primary,Regular,8.662686,11.887755,Primary,Primary,Public
u_fc_poi_school.1435,Adamawa,Gombi,Kamsu Primary School,Kamsu Primary School,Open,Pre-Primary & Primary,Regular,10.288872,12.375595,Primary,Primary,Public
u_fc_poi_school.1488,Adamawa,Ganye,Sammeri Primary School,Sammeri Primary School,Open,Pre-Primary & Primary,Regular,8.42954,11.951722,Primary,Primary,Public
u_fc_poi_school.1514,Adamawa,Gombi,Amdur Primary School,Amdur Primary School,Open,Pre-Primary & Primary,Regular,10.079255,12.545916,Primary,Primary,Public
u_fc_poi_school.1535,Adamawa,Song,Dimdima Primary School,Dimdima Primary School,Open,Pre-Primary & Primary,Regular,9.782112,12.414592,Primary,Primary,Public
u_fc_poi_school.1687,Adamawa,Ganye,Batal Primary School,Batal Primary School,Open,Pre-Primary & Primary,Regular,8.334856,12.055701,Primary,Primary,Public
u_fc_poi_school.1763,Adamawa,Demsa,Kunteri Primary School,Kunteri Primary School,Open,Pre-Primary & Primary,Regular,9.538193,12.215642,Primary,Primary,Public
u_fc_poi_school.1889,Adamawa,Jada,Mbulo Primary School,Mbulo Primary School,Open,Pre-Primary & Primary,Regular,8.643632,12.01958,Primary,Standard,Public
u_fc_poi_school.2007,Adamawa,Lamurde,Waduku Primary School,Waduku Primary School,Open,Pre-Primary & Primary,Regular,9.508872,11.645575,Primary,Standard,Public
u_fc_poi_school.2121,Adamawa,Toungo,Kudori Primary School,Kudori Primary School,Open,Pre-Primary & Primary,Regular,8.022643,11.5383,Primary,Primary,Public
u_fc_poi_school.2165,Adamawa,Hong,Gashaka Primary School,Gashaka Primary School,Open,Pre-Primary & Primary,Regular,10.170322,12.97516,Primary,Primary,Public
u_fc_poi_school.2269,Adamawa,Numan,Nzumosu Primary School,Nzumosu Primary School,Open,Pre-Primary & Primary,Regular,9.383729,11.625184,Primary,Primary,Public
u_fc_poi_school.2399,Adamawa,Shelleng,Jumbul Primary School,Jumbul Primary School,Open,Pre-Primary & Primary,Regular,9.877157,12.022484,Primary,Primary,Public
u_fc_poi_school.2466,Adamawa,Mayo-Belwa,Mbilla Primary School,Mbilla Primary School,Open,Pre-Primary & Primary,Regular,9.08528,12.072856,Primary,Standard,Public
u_fc_poi_school.2468,Adamawa,Demsa,Dwam II Primary School,Dwam II Primary School,Open,Pre-Primary & Primary,Regular,9.457984,12.07521,Primary,Primary,Public
u_fc_poi_school.2577,Adamawa,Gombi,Jau Primary School,Jau Primary School,Open,Pre-Primary & Primary,Regular,10.374411,12.59867,Primary,Primary,Public
u_fc_poi_school.2629,Adamawa,Shelleng,Gwakta Primary School,Gwakta Primary School,Open,Pre-Primary & Primary,Regular,9.949879,12.193819,Primary,Primary,Public
u_fc_poi_school.2815,Adamawa,Gombi,Zangra Primary School,Zangra Primary School,Open,Pre-Primary & Primary,Regular,10.025728,12.44597,Primary,Primary,Public
u_fc_poi_school.3061,Adamawa,Song,Garin Tuwo,Garin Tuwo Primary School,Open,Pre-Primary & Primary,Regular,9.819217,12.576261,Primary,Primary,Public
u_fc_poi_school.3230,Adamawa,Michika,Jang Primary School Michika,"Government Senior Secondary School, Jang Michika",Open,Senior Secondary,Regular,10.64111,13.379092,Primary,Primary,Public
