LGA,state,risk_score,school_age_population,idp_population,conflict_count,closed_schools
Abadam,Borno,0.4543821665000422,71518,0,173,5
Askira/Uba,Borno,0.1524225288585127,198236,11718,65,0
Bade,Yobe,0.0791812478672191,137362,25654,7,0
Bama,Borno,0.8190584859981267,164251,171239,309,25
Bayo,Borno,0.0295274332015822,117391,279,0,0
Biu,Borno,0.2408249905725263,225461,45579,98,0
Bursari,Yobe,0.0474838642471564,132614,3644,5,0
Chibok,Borno,0.1377662131878552,77754,10200,73,3
Damaturu,Yobe,0.2599402567564635,217386,23361,58,2
Damboa,Borno,0.6712830609983468,130214,109797,235,41
Demsa,Adamawa,0.0624429911607476,114893,19350,12,0
Dikwa,Borno,0.5366069189517129,78472,107707,108,17
Fika,Yobe,0.0818961954569528,193200,2514,4,0
Fufore,Adamawa,0.1368034802579871,274392,10171,0,0
Fune,Yobe,0.1691145688873522,308595,4589,20,0
Ganye,Adamawa,0.0599108864908661,164918,816,1,0
Geidam,Yobe,0.1604651514004225,216716,5555,35,1
Girei,Adamawa,0.0907416112860376,136997,17980,30,0
Gombi,Adamawa,0.0830295862914554,172650,4581,16,0
Gubio,Borno,0.3403175652361368,101525,12259,45,6
Gujba,Yobe,0.277545077893937,151872,48298,82,5
Gulani,Yobe,0.0751564959866708,177928,2312,7,0
Guyuk,Adamawa,0.0181519721882085,88941,4314,1,0
Guzamala,Borno,0.078326687443148,61296,0,52,1
Gwoza,Borno,1.0,165241,163325,459,19
Hawul,Borno,0.1231831287354474,189738,22879,24,0
Hong,Adamawa,0.0870605187438598,166206,5795,23,0
Jada,Adamawa,0.0933107592680246,221447,866,0,0
Jakusko,Yobe,0.0577211435665263,158592,2909,0,0
Jere,Borno,0.753915224355356,347253,287477,100,8
Kaga,Borno,0.3815846646873692,83466,24794,85,15
Kala/Balge,Borno,0.4269037618150986,41222,40949,65,18
Karasuwa,Yobe,0.0217014663727886,96463,2739,2,0
Konduga,Borno,0.7417083203392816,107000,71305,389,31
Kukawa,Borno,0.4195051758195707,70134,0,210,16
Kwaya Kusar,Borno,0.0232378448822965,96724,4615,1,0
Lamurde,Adamawa,0.0124559856375527,68584,3720,9,0
Machina,Yobe,0.0246280244506134,105883,1972,0,0
Madagali,Adamawa,0.1184393651670954,96518,14747,91,0
Mafa,Borno,0.4710876493662108,61277,42039,126,14
Magumeri,Borno,0.4642580909381376,130859,38107,65,10
Maiduguri,Borno,0.842514819321839,506337,204441,355,0
Maiha,Adamawa,0.0549520987557062,103270,23495,6,0
Marte,Borno,0.4366937130400272,55459,0,118,21
Mayo-Belwa,Adamawa,0.0673538421753912,176210,1305,1,0
Michika,Adamawa,0.068198788136091,137282,3205,25,0
Mobbar,Borno,0.510024613523449,125460,89292,70,6
Monguno,Borno,0.5990866143659473,119233,162108,83,15
Mubi North,Adamawa,0.0776114511736298,142933,10345,22,0
Mubi South,Adamawa,0.0581899965232856,134215,10084,7,0
Nangere,Yobe,0.0307052402071644,116694,833,1,0
Ngala,Borno,0.6149759996149464,159772,97954,143,7
Nganzai,Borno,0.2919866960855122,63101,0,66,8
Nguru,Yobe,0.0493536839267456,137689,6418,0,0
Numan,Adamawa,0.033914666485062,51690,25823,14,0
Potiskum,Yobe,0.1855694587828134,307313,4368,39,0
Shani,Borno,0.0519041871715769,143363,2687,4,0
Shelleng,Adamawa,0.0173056380765287,75398,10320,1,0
Song,Adamawa,0.0883521195580265,202892,4492,2,0
Tarmuwa,Yobe,0.1395814212612695,129192,1842,14,3
Toungo,Adamawa,0.0,68090,566,0,0
Yola North,Adamawa,0.0568871753160865,140248,11299,0,0
Yola South,Adamawa,0.1437529011809467,259457,17213,8,0
Yunusari,Yobe,0.1176748026980095,179012,1705,15,2
Yusufari,Yobe,0.0605271673910198,165843,1613,0,0
